transaction_id,customer_id,transaction_date,amount,currency,country,transaction_type,merchant,counterparty_name,description,channel,transactions_count,avg_amount_customer,high_amount_flag,risk_level,description_lower,rule_high_amount,rule_high_risk_country,rule_suspicious_description,rule_amount_vs_avg,rule_many_transactions,risk_score,aml_risk_level,alert_flag,alert_reason
34,517,2025-12-23 10:47:26.224208,3476.08,USD,Czech Republic,withdrawal,Lewis-Mitchell,Victor Peterson,Participant turn son bag season owner.,branch,23,1961.571739130435,0,medium,participant turn son bag season owner.,0,0,0,0,0,0,low,0,
35,272,2025-11-06 05:46:26.224208,1708.44,USD,USA,withdrawal,Ross LLC,Angel Vance,Option price home year child.,online,39,2067.7392307692307,0,low,option price home year child.,0,0,0,0,0,0,low,0,
36,634,2026-01-22 19:01:26.224208,4286.03,USD,USA,withdrawal,"Jones, Santana and Schneider",Amanda Diaz,Carry major system discussion wife road.,mobile,33,6844.2148484848485,0,low,carry major system discussion wife road.,0,0,0,0,0,0,low,0,
37,541,2026-02-07 08:50:26.224208,2977.18,USD,Ukraine,withdrawal,"Lewis, Jenkins and Trevino",Karen Mckenzie,Executive wish majority wrong first.,online,32,1267.973125,0,high,executive wish majority wrong first.,0,1,0,0,0,25,low,0,high risk country
38,273,2025-10-04 06:18:26.224208,10902.7,USD,UAE,transfer,Hernandez-Velez,Kim Long DDS,Toward sign participant.,branch,37,2305.322702702703,1,medium,toward sign participant.,1,0,0,1,0,45,medium,1,"high amount, amount above avg"
39,232,2025-11-10 01:30:26.224208,8063.8,USD,Lithuania,transfer,"Garrison, Phillips and Davis",Ariel Hale,Relate keep citizen brother fire.,mobile,33,2336.460303030304,0,medium,relate keep citizen brother fire.,0,0,0,1,0,15,low,0,amount above avg
40,120,2026-02-17 13:39:26.224208,20606.3,USD,Poland,transfer,"Green, Pratt and Williams",Joseph Rogers,Artist four still write.,mobile,28,2400.388571428572,1,low,artist four still write.,1,0,0,1,0,45,medium,1,"high amount, amount above avg"
41,516,2026-01-04 09:22:26.224208,1215.83,USD,Kazakhstan,payment,"Hayes, Lloyd and Porter",Terry Howe,Sing already push big almost air.,online,24,3150.861666666666,0,high,sing already push big almost air.,0,1,0,0,0,25,low,0,high risk country
42,92,2025-11-07 15:42:26.224208,69.46,USD,Czech Republic,transfer,Pace-Buck,Yvonne Hawkins,Nor east ready base. gift,branch,33,1973.3630303030304,0,medium,nor east ready base. gift,0,0,1,0,0,20,low,0,suspicious description
43,120,2026-02-05 02:33:26.224208,9167.32,USD,Kazakhstan,withdrawal,"Ramirez, Saunders and Mills",Michael Hayes,Movement activity hundred enough nice.,mobile,28,2400.388571428572,0,high,movement activity hundred enough nice.,0,1,0,1,0,40,medium,1,"high risk country, amount above avg"
44,918,2025-11-22 02:15:26.224208,2024.93,USD,Turkey,withdrawal,Hood-Bradley,Anthony Bailey,Few cup capital onto season theory.,branch,32,3680.58375,0,medium,few cup capital onto season theory.,0,0,0,0,0,0,low,0,
45,934,2026-02-07 14:03:26.224208,617.85,USD,Lithuania,payment,"Bowen, Taylor and Hudson",Sarah Rose,Road police condition.,online,22,10323.262727272728,0,medium,road police condition.,0,0,0,0,0,0,low,0,
46,637,2025-11-28 04:29:26.224208,888.35,USD,UAE,transfer,Collins-Rivas,Andrew Terry,Entire themselves give understand.,branch,28,3302.262142857143,0,medium,entire themselves give understand.,0,0,0,0,0,0,low,0,
47,803,2026-01-07 19:10:26.224208,4267.33,USD,UK,withdrawal,French Ltd,Sophia Salinas,Wait big know impact possible.,online,39,2709.929743589744,0,low,wait big know impact possible.,0,0,0,0,0,0,low,0,
48,188,2026-02-19 09:35:26.224208,6332.89,USD,Ukraine,transfer,Armstrong-Thompson,Jeffery Sanders,Program senior remember.,branch,31,6962.75,0,high,program senior remember.,0,1,0,0,0,25,low,0,high risk country
49,52,2025-10-22 03:54:26.224208,340.55,USD,UAE,transfer,Madden Ltd,Douglas Fitzgerald,Some safe future control.,online,25,1813.1808,0,medium,some safe future control.,0,0,0,0,0,0,low,0,
50,627,2025-11-28 01:27:26.224208,4540.92,USD,USA,withdrawal,"Owens, Knapp and Williams",Thomas Fox,Investment school yard.,online,36,2876.146388888889,0,low,investment school yard.,0,0,0,0,0,0,low,0,
51,862,2025-10-12 04:36:26.224208,40.27,USD,Turkey,payment,Harper LLC,Joseph Vasquez,Beautiful leg month. crypto,branch,34,4591.314705882353,0,medium,beautiful leg month. crypto,0,0,1,0,0,20,low,0,suspicious description
52,377,2026-01-22 21:29:26.224208,1435.81,USD,Russia,payment,King-Lloyd,Jason Ward,Around beautiful face.,branch,23,1714.8313043478263,0,high,around beautiful face.,0,1,0,0,0,25,low,0,high risk country
53,235,2026-03-11 03:24:26.224208,5329.08,USD,Lithuania,payment,"Deleon, Baker and Martin",Christian Mcintosh,Between strategy let.,mobile,31,2375.851612903225,0,medium,between strategy let.,0,0,0,0,0,0,low,0,
54,417,2026-01-01 11:35:26.224208,3802.3,USD,Ukraine,withdrawal,Harris-Kent,Andrea Murphy,Democratic its determine wrong energy.,mobile,22,7901.282272727272,0,high,democratic its determine wrong energy.,0,1,0,0,0,25,low,0,high risk country
55,510,2026-01-16 00:21:26.224208,211.25,USD,Germany,withdrawal,Rodriguez LLC,Amy Obrien,Generation military whom catch else while.,online,31,3322.179677419355,0,low,generation military whom catch else while.,0,0,0,0,0,0,low,0,
56,172,2026-03-02 14:25:26.224208,374.25,USD,Turkey,transfer,Taylor Ltd,Lisa Kelly,Executive realize believe kind.,mobile,26,2979.4526923076924,0,medium,executive realize believe kind.,0,0,0,0,0,0,low,0,
57,34,2025-12-09 12:57:26.224208,3338.8,USD,Lithuania,withdrawal,"Allen, Kim and James",Bonnie Collins,Still enjoy PM.,online,42,2654.414047619048,0,medium,still enjoy pm.,0,0,0,0,1,10,low,0,many transactions
58,616,2026-01-07 10:18:26.224208,126.84,USD,Germany,payment,Ritter-Frost,Jesse Zimmerman,Economic civil position write end policy.,online,37,1651.5237837837838,0,low,economic civil position write end policy.,0,0,0,0,0,0,low,0,
59,667,2025-10-30 13:46:26.224208,3089.18,USD,USA,withdrawal,"Pratt, Garcia and Shields",Matthew Kline,Hold case you environmental event sell.,mobile,37,4277.519189189189,0,low,hold case you environmental event sell.,0,0,0,0,0,0,low,0,
60,992,2025-11-05 19:50:26.224208,560.06,USD,Poland,withdrawal,"Mercado, Moore and Edwards",Angela Cooper,Sister rule nation card particularly plan nature.,online,29,2630.815172413793,0,low,sister rule nation card particularly plan nature.,0,0,0,0,0,0,low,0,
61,924,2025-12-30 15:46:26.224208,4089.09,USD,Turkey,payment,Gibson Group,Zachary Miller,Try firm still.,online,32,2429.955,0,medium,try firm still.,0,0,0,0,0,0,low,0,
62,860,2025-11-19 23:29:26.224208,1028.68,USD,Russia,transfer,Miller-Weiss,Tiffany Salas,Way either project.,online,31,2174.116451612904,0,high,way either project.,0,1,0,0,0,25,low,0,high risk country
63,831,2025-10-31 15:06:26.224208,2426.1,USD,Belarus,transfer,"Larson, Coleman and Edwards",Jerry Martin,In north hand nor.,branch,25,5731.13,0,high,in north hand nor.,0,1,0,0,0,25,low,0,high risk country
64,847,2025-10-18 21:49:26.224208,5294.14,USD,USA,withdrawal,Combs Ltd,Robert Brown DDS,Defense short back forward car.,mobile,30,7658.808000000001,0,low,defense short back forward car.,0,0,0,0,0,0,low,0,
65,437,2025-10-20 21:12:26.224208,168.9,USD,USA,transfer,Harrington LLC,Mary Hayes,Where group reveal.,mobile,22,2051.3545454545456,0,low,where group reveal.,0,0,0,0,0,0,low,0,
66,911,2025-10-23 02:07:26.224208,1689.68,USD,Russia,transfer,Burton Inc,Daryl Andrews,Practice may approach maintain control.,online,52,2519.5267307692307,0,high,practice may approach maintain control.,0,1,0,0,1,35,medium,1,"high risk country, many transactions"
67,44,2025-10-28 18:14:26.224208,2502.19,USD,Russia,transfer,Ochoa and Sons,David Macdonald,Voice stage suddenly million end media.,online,19,3319.998421052632,0,high,voice stage suddenly million end media.,0,1,0,0,0,25,low,0,high risk country
68,807,2025-10-10 23:04:26.224208,328.2,USD,Turkey,payment,"Larson, Sanders and Khan",Jeremy Brown,Above idea sometimes player success similar.,mobile,38,2450.2776315789474,0,medium,above idea sometimes player success similar.,0,0,0,0,0,0,low,0,
69,232,2026-01-13 12:13:26.224208,1571.73,USD,Czech Republic,withdrawal,"Powell, Kim and Wood",Ricky Smith,Owner if put total friend growth wonder. Ð¿ÐµÑÐµÐ²Ð¾Ð´,mobile,33,2336.460303030304,0,medium,owner if put total friend growth wonder. ð¿ðµñðµð²ð¾ð´,0,0,0,0,0,0,low,0,
70,715,2025-12-05 18:41:26.224208,2302.28,USD,Ukraine,payment,"Wilson, Rivera and Smith",Morgan Mitchell,Small off off author around should.,online,35,4336.234857142857,0,high,small off off author around should.,0,1,0,0,0,25,low,0,high risk country
71,396,2025-10-22 19:57:26.224208,456.01,USD,Ukraine,withdrawal,Faulkner-Mclaughlin,Joseph Obrien,Pattern action adult few.,online,27,1631.2592592592594,0,high,pattern action adult few.,0,1,0,0,0,25,low,0,high risk country
72,382,2025-09-30 07:25:26.224208,572.69,USD,UAE,payment,Brown-Chapman,Whitney Shah,Responsibility check probably task.,branch,38,3329.0789473684213,0,medium,responsibility check probably task.,0,0,0,0,0,0,low,0,
73,44,2026-03-20 17:24:26.224208,503.84,USD,USA,withdrawal,West-Hayes,Stephanie Espinoza,Catch against wish probably artist against. loan return,online,19,3319.998421052632,0,low,catch against wish probably artist against. loan return,0,0,1,0,0,20,low,0,suspicious description
74,532,2025-12-26 11:08:26.224208,251.25,USD,Belarus,withdrawal,"Montgomery, Roth and Ramsey",Tanya Marks,Good special within.,mobile,23,1574.752608695652,0,high,good special within.,0,1,0,0,0,25,low,0,high risk country
75,436,2025-09-24 07:39:26.224208,3036.68,USD,Turkey,transfer,Cox Ltd,Lisa Cline,Image alone certain teach about.,branch,30,2909.0696666666668,0,medium,image alone certain teach about.,0,0,0,0,0,0,low,0,
76,756,2025-10-18 23:58:26.224208,2068.27,USD,Poland,withdrawal,Benson-Herrera,John Hernandez,Truth research would.,branch,32,3700.4775,0,low,truth research would.,0,0,0,0,0,0,low,0,
77,824,2025-12-18 14:55:26.224208,1323.27,USD,Ukraine,payment,Harrison and Sons,Pamela Patterson,Expect music teach tree social evidence.,mobile,32,3140.5009375,0,high,expect music teach tree social evidence.,0,1,0,0,0,25,low,0,high risk country
78,421,2025-10-29 05:41:26.224208,4098.64,USD,Turkey,payment,Underwood LLC,Brandy Bentley,Central difficult by until such.,mobile,32,3068.8621875,0,medium,central difficult by until such.,0,0,0,0,0,0,low,0,
79,605,2025-12-09 05:02:26.224208,2202.36,USD,Poland,withdrawal,Johnson Inc,Douglas Stokes,Involve want culture.,online,41,4731.862926829268,0,low,involve want culture.,0,0,0,0,1,10,low,0,many transactions
80,884,2026-03-18 11:25:26.224208,944.58,USD,Germany,payment,Cross PLC,Claire Moore,Decision might treat ready specific ground.,online,34,1748.24,0,low,decision might treat ready specific ground.,0,0,0,0,0,0,low,0,
81,954,2026-03-08 18:53:26.224208,1273.47,USD,USA,withdrawal,Velazquez Ltd,Edward Miller,Design play argue recognize particularly.,branch,29,2485.3924137931035,0,low,design play argue recognize particularly.,0,0,0,0,0,0,low,0,
82,591,2026-02-08 02:22:26.224208,93.78,USD,Czech Republic,withdrawal,"Abbott, Bray and Thompson",Susan Norman,High statement pull.,mobile,31,2357.456129032258,0,medium,high statement pull.,0,0,0,0,0,0,low,0,
83,708,2025-11-02 00:31:26.224208,1592.08,USD,Russia,transfer,"Sanchez, Jennings and Gibson",Anita Anderson,Society own politics kind.,online,36,2284.378333333333,0,high,society own politics kind.,0,1,0,0,0,25,low,0,high risk country
84,399,2026-02-11 22:26:26.224208,528.54,USD,Turkey,transfer,Smith-Mcintyre,Nicole Shepard,Us mouth happen run brother prepare. ÐºÑÐ¸Ð¿ÑÐ°,branch,20,2082.5735,0,medium,us mouth happen run brother prepare. ðºñð¸ð¿ñð°,0,0,0,0,0,0,low,0,
85,826,2026-03-18 20:19:26.224208,454.3,USD,Lithuania,withdrawal,Spencer-Villa,Kyle Butler,Show entire policy.,mobile,30,5951.336333333334,0,medium,show entire policy.,0,0,0,0,0,0,low,0,
86,246,2025-12-06 03:29:26.224208,476.13,USD,Belarus,withdrawal,Jones PLC,Carol Collins,Life financial major.,mobile,29,2217.7403448275863,0,high,life financial major.,0,1,0,0,0,25,low,0,high risk country
87,606,2025-10-16 10:46:26.224208,2821.04,USD,UAE,transfer,Wright-White,Donald Johnson,Stage hundred worker then goal. exchange,online,34,2407.1644117647056,0,medium,stage hundred worker then goal. exchange,0,0,1,0,0,20,low,0,suspicious description
88,655,2025-09-29 13:04:26.224208,1025.6,USD,Belarus,payment,Kelly PLC,Jennifer Mckinney,Without speech side. Ð¿ÐµÑÐµÐ²Ð¾Ð´,branch,28,5105.430714285714,0,high,without speech side. ð¿ðµñðµð²ð¾ð´,0,1,0,0,0,25,low,0,high risk country
89,394,2025-10-12 20:53:26.224208,329.43,USD,USA,payment,Jones Group,Nicole Chapman,Everyone structure modern picture modern spring.,online,24,2152.994166666667,0,low,everyone structure modern picture modern spring.,0,0,0,0,0,0,low,0,
90,966,2025-12-29 17:05:26.224208,5459.32,USD,Ukraine,withdrawal,"Castillo, Roberts and Carson",William Christian,Few window throughout fish.,online,29,1798.0996551724138,0,high,few window throughout fish.,0,1,0,1,0,40,medium,1,"high risk country, amount above avg"
91,190,2025-12-28 05:47:26.224208,385.06,USD,USA,payment,Lopez Ltd,Kelly Bell,Stand thought above discuss rise allow.,online,41,2113.10756097561,0,low,stand thought above discuss rise allow.,0,0,0,0,1,10,low,0,many transactions
92,345,2026-03-10 18:33:26.224208,2713.03,USD,Lithuania,transfer,"Rodriguez, Jimenez and Johnston",Carmen Anderson,Population space couple part.,branch,35,2736.863428571429,0,medium,population space couple part.,0,0,0,0,0,0,low,0,
93,173,2026-02-17 04:35:26.224208,5279.32,USD,Belarus,transfer,Ross Ltd,Barbara Ingram,Plan drop former TV radio cold.,mobile,24,2831.3875000000003,0,high,plan drop former tv radio cold.,0,1,0,0,0,25,low,0,high risk country
94,327,2025-11-02 02:00:26.224208,178.67,USD,Kazakhstan,transfer,"Matthews, Stanley and Burgess",Michael Gibbs,Certainly write by she.,branch,32,1874.2471875,0,high,certainly write by she.,0,1,0,0,0,25,low,0,high risk country
95,592,2026-01-24 10:03:26.224208,154.86,USD,Czech Republic,transfer,Mendoza-Macias,Justin Hayes,Look upon store those return after.,mobile,35,2347.4922857142856,0,medium,look upon store those return after.,0,0,0,0,0,0,low,0,
96,553,2026-02-19 14:31:26.224208,1335.31,USD,Kazakhstan,payment,Peterson Inc,Hannah Allen,Develop enjoy future him create at.,mobile,31,2317.7432258064514,0,high,develop enjoy future him create at.,0,1,0,0,0,25,low,0,high risk country
97,137,2025-11-21 07:31:26.224208,391.48,USD,Kazakhstan,transfer,"Holmes, Marks and Richardson",Robert Taylor,Attack since because power.,branch,42,1911.7561904761903,0,high,attack since because power.,0,1,0,0,1,35,medium,1,"high risk country, many transactions"
98,435,2025-12-16 01:55:26.224208,592.16,USD,Turkey,withdrawal,Stark Ltd,Thomas Thomas,Glass must conference city.,branch,29,2634.131034482759,0,medium,glass must conference city.,0,0,0,0,0,0,low,0,
99,355,2025-12-29 13:17:26.224208,1909.32,USD,Poland,withdrawal,Long-Merritt,Cathy Sellers,Use scene article.,mobile,26,2268.252307692308,0,low,use scene article.,0,0,0,0,0,0,low,0,
100,536,2025-12-31 10:35:26.224208,249.64,USD,UAE,payment,Chen-Berg,Kristina Webb,Theory long standard their improve happy.,online,28,2135.3082142857143,0,medium,theory long standard their improve happy.,0,0,0,0,0,0,low,0,
101,86,2025-10-20 08:28:26.224208,1806.92,USD,Turkey,payment,Sosa LLC,Denise Owen,Current mean skill executive decade nice.,mobile,31,2324.9625806451613,0,medium,current mean skill executive decade nice.,0,0,0,0,0,0,low,0,
102,266,2026-02-25 10:30:26.224208,2816.87,USD,Ukraine,payment,Baker-Rogers,Cody Frost,Building stage people begin early.,online,35,2400.2882857142854,0,high,building stage people begin early.,0,1,0,0,0,25,low,0,high risk country
103,250,2025-12-16 20:06:26.224208,2314.37,USD,UK,transfer,"Butler, Adams and Douglas",Briana Hunter,Country wait specific role.,mobile,23,5196.817391304348,0,low,country wait specific role.,0,0,0,0,0,0,low,0,
104,169,2026-01-05 06:58:26.224208,4458.93,USD,Germany,transfer,Wallace-Schmidt,Jared Gardner,Help others TV action entire son.,mobile,29,2689.1437931034484,0,low,help others tv action entire son.,0,0,0,0,0,0,low,0,
105,387,2026-02-09 03:45:26.224208,1739.75,USD,Germany,withdrawal,Wyatt Inc,Harold Dominguez,Republican north over.,branch,36,3088.179444444444,0,low,republican north over.,0,0,0,0,0,0,low,0,
106,247,2026-01-23 23:52:26.224208,55.09,USD,Czech Republic,payment,"Lopez, Smith and Carter",Tammy Franco,Firm test choice Mr summer.,online,38,8387.842368421052,0,medium,firm test choice mr summer.,0,0,0,0,0,0,low,0,
107,217,2026-02-05 07:24:26.224208,250.21,USD,Kazakhstan,transfer,"Johnson, Melendez and Lopez",Jessica Trujillo,Late call buy.,online,38,2104.1555263157898,0,high,late call buy.,0,1,0,0,0,25,low,0,high risk country
108,10,2025-12-03 19:17:26.224208,5538.61,USD,Ukraine,transfer,Simpson and Sons,Thomas Ramos,Manage ready ability say give force.,branch,38,3025.0484210526315,0,high,manage ready ability say give force.,0,1,0,0,0,25,low,0,high risk country
109,181,2025-11-10 01:20:26.224208,4120.02,USD,Poland,withdrawal,Davis-Valencia,Maureen Aguirre,Address animal happy simple.,mobile,25,1527.2448000000002,0,low,address animal happy simple.,0,0,0,0,0,0,low,0,
110,489,2025-12-22 12:12:26.224208,611.52,USD,USA,transfer,"Jackson, Lee and Chapman",Howard Whitaker,Spring us popular.,online,32,2961.1696875,0,low,spring us popular.,0,0,0,0,0,0,low,0,
111,904,2025-10-05 17:02:26.224208,146.14,USD,Russia,withdrawal,"Lopez, Phillips and Burns",Robert Murray,Direction tax style.,online,32,3444.6009375,0,high,direction tax style.,0,1,0,0,0,25,low,0,high risk country
112,103,2025-11-14 21:52:26.224208,6347.35,USD,USA,withdrawal,"Porter, Fox and Lewis",Steven Perez,Work arm eye sit without collection.,branch,35,3396.380571428572,0,low,work arm eye sit without collection.,0,0,0,0,0,0,low,0,
113,831,2025-12-22 18:23:26.224208,2331.11,USD,UAE,withdrawal,Smith-Higgins,Cheryl Gonzales,Claim view thank charge dream place.,online,25,5731.13,0,medium,claim view thank charge dream place.,0,0,0,0,0,0,low,0,
114,792,2025-10-10 15:44:26.224208,3201.15,USD,UK,transfer,"Bennett, Diaz and Carter",Wesley Bell,Open cost there yet.,online,37,4905.478648648648,0,low,open cost there yet.,0,0,0,0,0,0,low,0,
115,67,2026-02-11 15:57:26.224208,714.7,USD,UK,transfer,Guzman Inc,Aaron Chavez,Traditional might believe drop.,online,29,2072.9500000000003,0,low,traditional might believe drop.,0,0,0,0,0,0,low,0,
116,119,2025-11-09 06:34:26.224208,1938.22,USD,Belarus,withdrawal,"Williams, Daniel and Flores",Meredith Mcgee,Management carry save though act recently.,branch,30,2654.491,0,high,management carry save though act recently.,0,1,0,0,0,25,low,0,high risk country
117,33,2026-02-07 21:19:26.224208,4035.4,USD,Turkey,withdrawal,"Cross, Alexander and Frey",Joseph Mathews,Goal day career finally maintain start.,online,36,1804.3838888888888,0,medium,goal day career finally maintain start.,0,0,0,0,0,0,low,0,
118,618,2025-11-16 15:43:26.224208,2573.85,USD,Turkey,transfer,Walker-Mccoy,Mark Wood,Product crime customer seven. ÐºÑÐ¸Ð¿ÑÐ°,branch,42,4987.91,0,medium,product crime customer seven. ðºñð¸ð¿ñð°,0,0,0,0,1,10,low,0,many transactions
