customer_id;full_name;residence_country;customer_since;customer_segment;risk_profile
165;Mrs. Jenna Rodriguez DDS;Poland;15.04.2025;business;high
166;Timothy Stafford;Kazakhstan;18.04.2025;retail;medium
167;Alicia Roach;UAE;07.09.2017;business;low
168;Erika Willis;USA;09.11.2024;retail;high
169;Shawn Hill;Russia;13.10.2017;business;low
170;Michelle Brown;Ukraine;01.09.2019;retail;low
171;Daniel Mcclure;Lithuania;11.03.2024;business;medium
172;Jacob Rodriguez;USA;03.02.2017;retail;high
173;Joseph Nguyen;Germany;07.07.2021;retail;low
174;Brandon Chambers;Kazakhstan;23.04.2025;business;medium
175;Timothy Cook;Poland;15.08.2018;retail;low
176;Laura Ortiz;Poland;02.09.2021;retail;high
177;Lisa Daniel;Ukraine;13.11.2020;retail;medium
178;Bob Pearson;Kazakhstan;04.09.2025;retail;low
179;Martha Anderson;Turkey;27.10.2016;business;medium
180;Kellie Stewart;Turkey;02.10.2018;business;medium
181;Anthony Briggs;Germany;14.01.2019;retail;medium
182;Amanda Nelson;Belarus;21.03.2023;retail;medium
183;Nicholas Hill;USA;13.12.2020;retail;medium
184;Patrick Stone;Poland;08.10.2020;retail;high
185;Melissa Johnson;Kazakhstan;24.03.2021;retail;low
186;Christopher Becker;UAE;10.10.2017;retail;medium
187;Jamie Mendoza;Lithuania;02.12.2016;business;low
188;Ryan Higgins;Kazakhstan;09.11.2022;retail;high
189;Randy Daniels;UAE;07.03.2024;retail;high
190;Connie Hudson;Russia;29.03.2022;business;medium
191;Stephen Smith;USA;05.01.2021;business;low
192;Shawn Lee;Germany;15.04.2022;business;low
193;Juan Campbell;Russia;17.08.2019;retail;medium
194;Christopher Martinez;UAE;26.11.2023;retail;medium
195;Jason Edwards;Kazakhstan;14.09.2016;business;low
196;Melissa Smith;UK;03.10.2020;retail;high
197;Lisa Mcdonald;UK;30.10.2022;retail;medium
198;Kristina Johnson;Czech Republic;19.01.2019;business;high
199;Brittany James;Lithuania;22.05.2017;business;low
200;Mary Brown;Lithuania;11.07.2020;business;high
201;Kayla Glenn;Turkey;27.11.2025;business;low
202;Zachary Cooper;UK;24.08.2023;business;low
203;April Ford;Belarus;26.01.2019;business;low
204;Zachary Stone DVM;Russia;15.08.2018;retail;low
205;Sherri Williams DDS;Russia;30.09.2021;business;medium
206;Marcus Taylor;Ukraine;15.01.2020;retail;high
207;Deborah Williams;UK;30.12.2021;retail;high
208;Theresa Ali;Lithuania;23.02.2021;business;low
209;Kelli Nelson;Lithuania;12.09.2020;retail;low
210;Julie Cook;Kazakhstan;06.02.2026;business;high
211;Kristin Barber;Ukraine;11.09.2016;business;medium
212;Amy Cole;Russia;03.09.2017;retail;medium
213;Lisa Gonzalez;Russia;16.09.2018;retail;low
214;Brandy Rodgers;Lithuania;31.01.2019;retail;low
215;Jeffrey Mejia;USA;21.02.2021;business;medium
216;Stephanie Pearson;Ukraine;20.02.2023;retail;medium
217;Elizabeth Mata;Belarus;17.11.2021;retail;low
218;Mr. Steve Moore;Poland;05.12.2020;business;low
219;Richard Koch;Germany;22.04.2019;business;high
220;Amy Stephens;USA;19.09.2024;business;medium
221;Michael Scott;Lithuania;30.04.2020;business;medium
222;Jonathan Barrera;Kazakhstan;08.06.2019;retail;medium
223;Jonathan Schwartz;Ukraine;14.02.2019;retail;low
224;Stephanie Price;Poland;11.03.2024;retail;low
225;Vincent Jones;UAE;17.08.2017;business;high
226;Joseph Harrison;Kazakhstan;06.05.2016;business;medium
227;David Stevens;Czech Republic;28.02.2026;retail;medium
228;Richard Jones;Ukraine;26.11.2018;retail;medium
229;Diamond Klein;Czech Republic;02.11.2025;business;high
230;Keith Fox;Ukraine;23.05.2023;business;low
231;Zachary Mckay;Russia;16.09.2019;business;high
232;Julie Harris;Russia;04.02.2025;retail;high
233;Robert Allen;Belarus;23.01.2023;retail;low
234;Cristina Stewart;Germany;05.08.2018;retail;high
235;Garrett Nunez;Germany;16.12.2017;retail;medium
236;Derek Vance;Kazakhstan;18.08.2016;business;medium
237;George Wade;USA;01.01.2021;retail;high
238;Julia Bowman;Germany;19.08.2020;retail;medium
239;Marc Herrera;Belarus;28.10.2019;retail;low
240;Kenneth Reed;Russia;15.04.2025;business;high
241;Erika Maynard;Czech Republic;04.07.2020;business;low
242;Savannah Taylor;Belarus;01.01.2017;retail;high
243;Jeremy Phillips;Ukraine;13.07.2016;retail;low
244;Melissa Macdonald;Lithuania;27.08.2016;business;high
245;Phillip Horn;UK;27.09.2024;retail;low
246;Cynthia Wright;Belarus;14.02.2025;retail;low
247;Vincent Sullivan;Belarus;10.05.2024;business;medium
248;Ian Schwartz;UK;27.05.2020;business;high
249;Donna Mcdonald;Germany;13.06.2022;retail;medium
250;Adam Keller;UK;29.04.2018;retail;medium
251;Jeffrey Vasquez;UAE;26.12.2018;business;low
252;Nina Hernandez;Russia;01.07.2016;retail;medium
253;Clinton Hammond;USA;30.06.2020;retail;medium
254;Megan Moore;Germany;11.02.2018;retail;high
255;Robert Kirk;Kazakhstan;26.04.2024;business;medium
256;Joshua Johnson;Russia;06.03.2024;retail;high
257;Matthew Lee;UAE;08.09.2021;retail;medium
258;Melissa Hart;Turkey;28.05.2022;business;high
259;Mr. Jonathan Hoffman;Kazakhstan;29.09.2016;retail;low
260;Sarah Stephens;Lithuania;13.04.2025;retail;medium
261;Jonathan Chavez Jr.;Germany;04.12.2018;business;high
262;Eric Santiago;Lithuania;13.06.2020;business;medium
263;Danielle Marshall;Poland;27.11.2017;retail;high
264;Linda Frazier;Poland;12.01.2023;business;medium
265;Francisco Smith;Czech Republic;18.01.2025;business;medium
266;Kelly Carrillo;Ukraine;18.05.2025;retail;medium
267;Diana Turner;Turkey;17.08.2022;business;medium
268;James Mcdonald;USA;17.12.2025;business;high
269;Kathy Hernandez;Ukraine;08.01.2023;retail;medium
270;John Alexander MD;Poland;02.09.2022;business;low
271;Andre Rogers;Ukraine;02.04.2019;business;low
272;Jessica Thomas;Lithuania;04.10.2025;business;low
273;Patricia Brandt;Ukraine;08.08.2021;retail;high
274;David Weber;USA;09.01.2026;business;medium
275;Kathryn Nielsen;Turkey;08.09.2025;retail;low
276;Erika Meadows;UAE;27.06.2020;business;medium
277;Courtney Fuller;Czech Republic;27.04.2025;retail;medium
278;Crystal Martin;Germany;19.08.2023;business;low
279;Steven Lee;Russia;01.11.2019;retail;high
280;Rebecca Smith;Czech Republic;20.07.2021;business;low
281;James Taylor;Germany;06.10.2021;business;high
282;Laura Matthews;USA;16.01.2019;retail;medium
283;Amanda Cox;UAE;28.04.2025;retail;high
284;Debbie Scott;Poland;28.02.2024;retail;low
285;Charles Rodriguez;Ukraine;08.10.2025;business;medium
286;Kathryn Barnes;Czech Republic;09.11.2022;retail;low
287;Anthony Robinson;Russia;10.09.2019;retail;high
288;Rachel Hines;USA;07.01.2018;retail;medium
289;Michael Stephens;Germany;15.10.2020;business;low
290;Sandy Chapman;Czech Republic;23.11.2017;retail;low
291;Kelly Hawkins;Ukraine;24.04.2022;business;medium
292;Crystal Melton;Russia;16.05.2018;business;low
293;Amanda Gonzalez;UK;26.11.2021;business;high
294;Tom Lopez;UAE;05.06.2021;retail;low
295;John Perez;Czech Republic;02.06.2021;business;high
296;Derek Hill;Czech Republic;09.07.2025;retail;medium
297;Charles Berry;Russia;03.09.2023;retail;low
298;Richard Browning;Czech Republic;09.10.2016;business;low
299;Abigail Castillo;UAE;13.11.2017;retail;medium
300;Daryl Barnes;UK;13.07.2022;retail;low
301;Deanna Martinez;Germany;22.04.2016;business;high
302;Mark Green;Lithuania;12.06.2016;business;high
303;Bianca Knight DVM;UAE;08.02.2019;retail;low
304;Jennifer Fox;UK;23.10.2025;business;medium
305;Deborah Morales;Germany;22.04.2023;business;low
306;Dr. Timothy Williams;Poland;06.12.2025;retail;high
307;Jaime Oneill;Czech Republic;31.05.2022;business;medium
308;Anna Mitchell;Czech Republic;01.01.2020;retail;medium
309;Michael Brown;USA;01.01.2020;retail;low
310;Cheryl Dominguez;Germany;03.01.2019;business;medium
311;Brittany Cruz;Germany;30.09.2020;business;high
312;William Arnold;Germany;16.04.2022;business;high
313;Jonathan Williams;UK;10.10.2021;business;high
314;Nicole Weaver;UK;05.10.2018;business;low
315;Robert Keller;Kazakhstan;31.08.2022;retail;medium
316;Grant Jefferson;Czech Republic;26.04.2022;business;low
317;Lisa Walter;Belarus;24.02.2025;business;low
318;Linda Jenkins;Belarus;08.11.2017;business;low
319;Eric Wilkinson;UK;12.06.2016;business;medium
320;Lauren Vaughn;Poland;19.04.2025;business;low
321;Samantha Wiggins;USA;06.06.2023;retail;medium
322;Natalie Walter;Lithuania;25.12.2025;retail;medium
323;Steven Lee;USA;11.09.2021;retail;medium
324;Jeffrey Torres;Germany;19.10.2024;business;low
325;Richard Tucker;Poland;30.04.2019;business;low
326;Victor Martinez;Turkey;05.11.2022;business;high
327;Kevin Garcia;Russia;17.12.2019;retail;medium
328;Heather Dillon;Turkey;10.03.2025;retail;low
329;Julie Hensley;Turkey;07.03.2021;retail;medium
330;Courtney Johnson;Belarus;10.09.2021;retail;medium
331;Natasha Mendez;Kazakhstan;03.09.2023;business;medium
332;Gloria Coleman;Turkey;07.06.2016;retail;high
333;Stephen Mendez;UK;18.06.2020;business;low
334;Jason Torres;Turkey;12.02.2020;business;high
335;Brooke Castillo;Turkey;14.11.2016;retail;high
336;Robert Nichols;Belarus;22.07.2018;retail;medium
337;Gavin Bates;Czech Republic;17.02.2022;retail;low
338;Angelica Kidd;Lithuania;12.10.2017;retail;high
339;Michelle Tran;Czech Republic;24.12.2017;business;medium
340;Adam Blackwell;Czech Republic;07.10.2018;retail;medium
341;Nicole Ford;Russia;12.09.2018;retail;high
342;Bruce Fitzgerald;UK;12.10.2022;business;medium
343;Crystal Conrad;Turkey;29.09.2017;retail;medium
344;Jon Jackson;UK;21.09.2023;retail;medium
345;Jerry Lucas III;Ukraine;21.07.2023;business;high
346;Dwayne Cortez;Ukraine;17.06.2021;business;medium
347;Joseph Ray;Belarus;17.11.2019;business;high
348;Steven Whitney;Poland;17.06.2025;retail;high
349;Thomas Davis;UK;13.01.2026;retail;low
350;John Soto;Turkey;24.12.2016;retail;high
351;Brittany Garza;Germany;27.09.2017;business;medium
352;Timothy Morgan;Kazakhstan;06.02.2025;business;medium
353;Karen Hernandez;Kazakhstan;17.05.2024;business;medium
354;Lynn Mccann;Ukraine;11.03.2025;business;medium
355;Randall Prince;Turkey;21.06.2025;retail;medium
356;Kenneth Smith;UK;22.07.2024;business;high
357;Kelsey Conway;Kazakhstan;18.04.2023;retail;low
358;Bryan Sanchez;Kazakhstan;11.05.2018;business;high
359;Emma Gray;Belarus;24.02.2024;retail;medium
360;Michael Turner;Lithuania;30.05.2023;retail;low
361;Tracy Jenkins;Kazakhstan;20.10.2022;retail;low
362;Gloria Caldwell;USA;24.03.2024;business;high
363;Kendra Flores;Belarus;05.11.2017;retail;high
364;Monica Glenn;UAE;20.11.2018;business;high
365;Briana Combs;Ukraine;09.09.2019;retail;low
366;Julia Mcgrath;Poland;14.05.2025;retail;medium
367;Kendra Patrick;USA;09.09.2023;business;medium
368;Joseph Mason;USA;23.12.2025;retail;medium
369;Jeremiah Harris;Lithuania;20.03.2023;business;high
370;Michael Davis;Lithuania;25.04.2018;retail;high
371;Virginia Scott;Turkey;14.05.2021;retail;medium
372;Adam Nguyen;Belarus;28.06.2021;business;medium
373;Laura White;Russia;18.09.2016;retail;high
374;Austin Morrison;UAE;16.11.2016;business;high
375;Victor Hall;Russia;31.01.2025;business;high
376;Maria Carter;Kazakhstan;15.07.2017;business;medium
377;Jose Hall;Russia;16.08.2021;retail;low
378;Dr. Shannon Olson;Czech Republic;12.09.2021;business;high
379;Katherine Smith;Russia;23.03.2021;retail;high
380;Savannah Thomas;Poland;30.08.2023;retail;high
381;Trevor Miranda;Kazakhstan;09.01.2019;business;low
382;Tammy Malone;USA;22.03.2020;retail;low
383;William Rivera;UK;17.06.2019;business;low
384;Matthew Rodriguez;USA;06.12.2024;retail;medium
385;Andre Cook;USA;03.08.2017;business;low
386;Jessica Cox;Kazakhstan;12.09.2024;business;low
387;Anthony Robinson;Lithuania;30.09.2021;business;high
388;Ryan Cain;Czech Republic;27.09.2016;business;high
389;Cameron Donovan;Poland;28.05.2017;retail;high
390;Lisa Morales;USA;30.06.2022;retail;low
391;Jason Hodges;Czech Republic;30.10.2016;business;high
392;Laurie Jackson;Germany;08.04.2020;retail;low
393;Leslie Stewart;Turkey;12.03.2021;retail;high
394;Amanda Rios;Turkey;01.11.2024;business;medium
395;Andrew Holloway;Belarus;11.10.2018;business;medium
396;Joshua Turner;Ukraine;09.05.2020;business;medium
397;James Watkins;UK;18.01.2023;retail;medium
398;Timothy Mendoza;Ukraine;17.04.2018;retail;high
399;Jessica George;Kazakhstan;25.04.2020;business;medium
400;Kim Hernandez;UAE;31.05.2018;retail;low
401;Tammy Ferguson;USA;22.07.2020;business;medium
402;Nancy Conner;Turkey;02.06.2021;retail;low
403;Alexis Gibbs;Lithuania;20.01.2026;retail;medium
404;Nicholas Leon;UK;23.01.2019;business;high
405;Luis Lopez;Ukraine;07.10.2025;retail;medium
406;Travis Reyes;Belarus;15.09.2022;retail;high
407;Hannah Ford;Germany;15.09.2022;retail;medium
408;Kimberly Reid;Kazakhstan;06.06.2018;retail;high
409;Randall Avery;Poland;20.08.2020;retail;high
410;Kyle Johnson;USA;15.05.2019;retail;low
411;Amanda Gregory MD;Russia;28.02.2024;business;low
412;Christine Anderson;Ukraine;18.07.2022;retail;medium
413;Sarah Rogers;Lithuania;27.12.2020;retail;medium
414;Paige Long;Belarus;25.12.2019;retail;medium
415;Austin Gould;Czech Republic;08.08.2020;business;high
416;Nancy Christensen;Lithuania;30.12.2019;business;high
417;Douglas King;Turkey;17.10.2024;business;high
418;Kimberly Hernandez;Lithuania;05.03.2017;business;medium
419;Billy Braun;Poland;12.07.2017;retail;high
420;Samantha Lutz;UK;12.05.2025;business;high
421;Vanessa Villa;UAE;27.03.2018;retail;high
422;Jonathan Johnson;UK;15.09.2016;business;medium
423;Jennifer Figueroa MD;USA;24.08.2020;business;high
424;Daniel Green;UK;22.08.2016;business;low
425;Connie Khan;Russia;04.03.2022;business;low
426;Holly Robinson;Belarus;15.07.2016;retail;low
427;Mark Bryant;UAE;10.05.2018;business;high
428;Renee Delgado;Poland;03.07.2016;business;medium
429;John Gutierrez;Russia;13.10.2021;retail;medium
430;Ian Jackson;Russia;16.08.2016;retail;high
431;Robert Grimes;Lithuania;15.12.2021;retail;high
432;Matthew Moore;Czech Republic;23.03.2017;retail;low
433;Jasmine Hooper;Poland;01.05.2020;business;medium
434;Gary Lopez;Ukraine;23.07.2018;business;high
435;Gary Briggs;UAE;22.07.2021;business;low
436;Joshua Neal;Ukraine;21.04.2024;business;high
437;Timothy Carson;Russia;22.05.2018;retail;medium
438;Kimberly Young;UK;01.06.2021;retail;medium
439;Roy Parker;UAE;08.09.2022;retail;high
440;Christopher Kelly;Lithuania;05.10.2016;retail;high
441;Miguel Jones;Belarus;16.01.2020;retail;medium
442;Angela Jones;Ukraine;03.10.2017;business;medium
443;Virginia Drake;Ukraine;28.09.2023;retail;low
444;Jose Nichols;Kazakhstan;04.04.2023;retail;high
445;Ricky Ramirez;Kazakhstan;30.05.2018;business;high
446;Nicole Franklin;Belarus;23.06.2018;business;medium
447;Gary Turner;Lithuania;25.06.2018;business;high
448;Elizabeth Yates;Germany;27.10.2025;retail;medium
449;Ms. Brittany Robinson;Belarus;18.10.2016;retail;medium
450;Savannah Weeks;UK;27.11.2021;business;medium
451;Thomas Snyder;Belarus;15.12.2019;retail;high
452;Mr. Timothy Orozco;Turkey;29.08.2020;business;medium
453;Ashley Cuevas;Poland;30.08.2020;retail;low
454;Roger Smith;Germany;25.01.2024;retail;medium
455;Dylan Gray;Germany;14.06.2024;retail;high
456;Julie Montoya;Ukraine;23.05.2017;retail;low
457;Ryan Stevens;Ukraine;13.11.2017;retail;medium
458;Natalie Murray;USA;13.02.2019;retail;low
459;Kimberly Carney;USA;24.02.2017;retail;low
460;Christian Hughes;Turkey;24.08.2018;retail;medium
461;Elizabeth Johnson;Germany;03.05.2019;retail;medium
462;Jennifer Martin;Germany;30.08.2025;business;medium
463;Steven Doyle;Russia;17.03.2026;retail;low
464;Aimee Black;Ukraine;29.01.2026;business;high
465;Samantha Sanchez;USA;23.07.2022;business;low
466;Joshua Smith;Turkey;15.05.2017;retail;high
467;Angela Thompson;Germany;01.11.2021;retail;high
468;Christina Cole;Belarus;03.09.2023;business;low
469;Daniel Schultz;Kazakhstan;20.09.2019;business;high
470;Cindy Marquez;Czech Republic;25.08.2018;business;medium
471;Linda Thompson;UAE;13.09.2022;retail;low
472;Zachary Boone;Czech Republic;31.12.2021;retail;medium
473;Whitney Vaughan;UAE;06.12.2017;business;low
474;Bobby Price;UAE;13.02.2026;retail;low
475;Kathryn Wells;Poland;04.12.2018;business;high
476;Peter Walker;Poland;21.02.2018;business;low
477;Kyle Moore;Czech Republic;08.06.2019;business;low
478;Kevin Martinez;Czech Republic;02.02.2019;retail;medium
479;Kayla Arias;Czech Republic;03.01.2018;retail;high
480;Robert Sanchez;Russia;24.07.2024;business;high
481;Amy Morrison;Russia;21.09.2017;business;high
482;Shelby Tanner MD;Belarus;06.12.2022;business;high
483;Jennifer Lawson;Ukraine;25.05.2022;retail;low
484;Patricia Wilson;UAE;31.07.2022;retail;low
485;Zachary Scott;Ukraine;03.05.2020;business;low
486;Dawn Moore;Lithuania;15.01.2025;business;high
487;Michael Serrano;UAE;19.01.2026;retail;high
488;Rebecca Brooks;Poland;17.07.2020;retail;low
489;Jessica Campbell;Ukraine;29.08.2022;retail;high
490;Jorge Wong;Kazakhstan;21.08.2020;business;low
491;Michael Turner;Kazakhstan;22.07.2023;retail;low
492;Nicholas Hanson;UAE;15.01.2026;retail;medium
493;George Smith;Kazakhstan;07.12.2021;business;medium
494;Mary Powers;UAE;08.03.2021;retail;high
495;Belinda Johnson;Lithuania;06.01.2022;retail;high
496;Nathaniel Hill;Russia;09.07.2020;retail;medium
497;Melvin Miller;USA;10.10.2024;retail;medium
498;Sue Walker;Belarus;14.12.2017;business;high
499;Mary Ward;UAE;05.10.2016;retail;low
500;Renee Young;Belarus;22.09.2023;retail;medium
501;Karina Wilson;USA;12.08.2017;business;low
502;Larry Walls;Poland;26.02.2023;retail;low
503;Holly Reeves;Kazakhstan;04.09.2017;business;high
504;Michael Davis;UAE;13.09.2023;retail;low
505;Lance Brown;USA;28.04.2022;business;high
506;Michele May;USA;10.05.2025;business;high
507;Chad Anderson;Ukraine;07.08.2024;retail;medium
508;Trevor Jacobson;Turkey;27.07.2023;retail;low
509;Dawn Ibarra;UAE;23.02.2022;retail;high
510;Jamie Kelly;Ukraine;14.06.2024;business;low
